Country,Code,Year_2016
Aruba,ABW,104822
Afghanistan,AFG,34656032
Angola,AGO,28813463
Albania,ALB,2876101
Andorra,AND,77281
Arab World,ARB,406452690
United Arab Emirates,ARE,9269612
Argentina,ARG,43847430
Armenia,ARM,2924816
American Samoa,ASM,55599
Antigua and Barbuda,ATG,100963
Australia,AUS,24127159
Austria,AUT,8747358
Azerbaijan,AZE,9762274
Burundi,BDI,10524117
Belgium,BEL,11348159
Benin,BEN,10872298
Burkina Faso,BFA,18646433
Bangladesh,BGD,162951560
Bulgaria,BGR,7127822
Bahrain,BHR,1425171
"Bahamas, The",BHS,391232
Bosnia and Herzegovina,BIH,3516816
Belarus,BLR,9507120
Belize,BLZ,366954
Bermuda,BMU,65331
Bolivia,BOL,10887882
Brazil,BRA,207652865
Barbados,BRB,284996
Brunei Darussalam,BRN,423196
Bhutan,BTN,797765
Botswana,BWA,2250260
Central African Republic,CAF,4594621
Canada,CAN,36286425
Central Europe and the Baltics,CEB,102974082
Switzerland,CHE,8372098
Channel Islands,CHI,164541
Chile,CHL,17909754
China,CHN,1378665000
Cote d'Ivoire,CIV,23695919
Cameroon,CMR,23439189
"Congo, Dem. Rep.",COD,78736153
"Congo, Rep.",COG,5125821
Colombia,COL,48653419
Comoros,COM,795601
Cabo Verde,CPV,539560
Costa Rica,CRI,4857274
Caribbean small states,CSS,7245472
Cuba,CUB,11475982
Curacao,CUW,159999
Cayman Islands,CYM,60765
Cyprus,CYP,1170125
Czech Republic,CZE,10561633
Germany,DEU,82667685
Djibouti,DJI,942333
Dominica,DMA,73543
Denmark,DNK,5731118
Dominican Republic,DOM,10648791
Algeria,DZA,40606052
East Asia & Pacific (excluding high income),EAP,2051452657
Early-demographic dividend,EAR,3170542188
East Asia & Pacific,EAS,2296786207
Europe & Central Asia (excluding high income),ECA,417424643
Europe & Central Asia,ECS,911995305
Ecuador,ECU,16385068
"Egypt, Arab Rep.",EGY,95688681
Euro area,EMU,340894606
Eritrea,ERI,
Spain,ESP,46443959
Estonia,EST,1316481
Ethiopia,ETH,102403196
European Union,EUU,511497415
Fragile and conflict affected situations,FCS,496575241
Finland,FIN,5495096
Fiji,FJI,898760
France,FRA,66896109
Faroe Islands,FRO,49117
"Micronesia, Fed. Sts.",FSM,104937
Gabon,GAB,1979786
United Kingdom,GBR,65637239
Georgia,GEO,3719300
Ghana,GHA,28206728
Gibraltar,GIB,34408
Guinea,GIN,12395924
"Gambia, The",GMB,2038501
Guinea-Bissau,GNB,1815698
Equatorial Guinea,GNQ,1221490
Greece,GRC,10746740
Grenada,GRD,107317
Greenland,GRL,56186
Guatemala,GTM,16582469
Guam,GUM,162896
Guyana,GUY,773303
High income,HIC,1190029421
"Hong Kong SAR, China",HKG,7346700
Honduras,HND,9112867
Heavily indebted poor countries (HIPC),HPC,744602976
Croatia,HRV,4170600
Haiti,HTI,10847334
Hungary,HUN,9817958
IBRD only,IBD,4697247117
IDA & IBRD total,IBT,6271593092
IDA total,IDA,1574345975
IDA blend,IDB,521159393
Indonesia,IDN,261115456
IDA only,IDX,1053186582
Isle of Man,IMN,83737
India,IND,1324171354
Ireland,IRL,4773095
"Iran, Islamic Rep.",IRN,80277428
Iraq,IRQ,37202572
Iceland,ISL,334252
Israel,ISR,8547100
Italy,ITA,60600590
Jamaica,JAM,2881355
Jordan,JOR,9455802
Japan,JPN,126994511
Kazakhstan,KAZ,17797032
Kenya,KEN,48461567
Kyrgyz Republic,KGZ,6082700
Cambodia,KHM,15762370
Kiribati,KIR,114395
St. Kitts and Nevis,KNA,54821
"Korea, Rep.",KOR,51245707
Kuwait,KWT,4052584
Latin America & Caribbean (excluding high income),LAC,610136397
Lao PDR,LAO,6758353
Lebanon,LBN,6006668
Liberia,LBR,4613823
Libya,LBY,6293253
St. Lucia,LCA,178015
Latin America & Caribbean,LCN,637664490
Least developed countries: UN classification,LDC,980609415
Low income,LIC,659272676
Liechtenstein,LIE,37666
Sri Lanka,LKA,21203000
Lower middle income,LMC,3012923806
Low & middle income,LMY,6247922508
Lesotho,LSO,2203821
Late-demographic dividend,LTE,2262709895
Lithuania,LTU,2872298
Luxembourg,LUX,582972
Latvia,LVA,1960424
"Macao SAR, China",MAC,612167
St. Martin (French part),MAF,31949
Morocco,MAR,35276786
Monaco,MCO,38499
Moldova,MDA,3552000
Madagascar,MDG,24894551
Maldives,MDV,417492
Middle East & North Africa,MEA,436720722
Mexico,MEX,127540423
Marshall Islands,MHL,53066
Middle income,MIC,5592833481
"Macedonia, FYR",MKD,2081206
Mali,MLI,17994837
Malta,MLT,436947
Myanmar,MMR,52885223
Middle East & North Africa (excluding high income),MNA,373719055
Montenegro,MNE,622781
Mongolia,MNG,3027398
Northern Mariana Islands,MNP,55023
Mozambique,MOZ,28829476
Mauritania,MRT,4301018
Mauritius,MUS,1263473
Malawi,MWI,18091575
Malaysia,MYS,31187265
North America,NAC,359479269
Namibia,NAM,2479713
New Caledonia,NCL,278000
Niger,NER,20672987
Nigeria,NGA,185989640
Nicaragua,NIC,6149928
Netherlands,NLD,17018408
Norway,NOR,5232929
Nepal,NPL,28982771
Nauru,NRU,13049
New Zealand,NZL,4692700
OECD members,OED,1289937319
Oman,OMN,4424762
Other small states,OSS,29983809
Pakistan,PAK,193203476
Panama,PAN,4034119
Peru,PER,31773839
Philippines,PHL,103320222
Palau,PLW,21503
Papua New Guinea,PNG,8084991
Poland,POL,37948016
Pre-demographic dividend,PRE,879292453
Puerto Rico,PRI,3411307
"Korea, Dem. People’s Rep.",PRK,25368620
Portugal,PRT,10324611
Paraguay,PRY,6725308
West Bank and Gaza,PSE,4551566
Pacific island small states,PSS,2388875
Post-demographic dividend,PST,1102730983
French Polynesia,PYF,280208
Qatar,QAT,2569804
Romania,ROU,19705301
Russian Federation,RUS,144342396
Rwanda,RWA,11917508
South Asia,SAS,1766383450
Saudi Arabia,SAU,32275687
Sudan,SDN,39578828
Senegal,SEN,15411614
Singapore,SGP,5607283
Solomon Islands,SLB,599419
Sierra Leone,SLE,7396190
El Salvador,SLV,6344722
San Marino,SMR,33203
Somalia,SOM,14317996
Serbia,SRB,7057412
Sub-Saharan Africa (excluding high income),SSA,1033011458
South Sudan,SSD,12230730
Sub-Saharan Africa,SSF,1033106135
Small states,SST,39618156
Sao Tome and Principe,STP,199910
Suriname,SUR,558368
Slovak Republic,SVK,5428704
Slovenia,SVN,2064845
